Wellno,Well,Strain,Bio_rep,Env
1,A1,blank,0,kb
2,A2,blank,0,kb
3,A3,blank,0,kb
4,A4,blank,0,kb
5,A5,blank,0,kb
6,A6,blank,0,kb
7,A7,blank,0,kb
8,A8,blank,0,kb
9,A9,blank,0,kb
10,A10,blank,0,kb
11,A11,blank,0,kb
12,A12,blank,0,kb
13,B1,blank,0,kb
14,B2,A9,1,kb
15,B3,A9,2,kb
16,B4,DC,1,kb
17,B5,DC,2,kb
18,B6,ES,1,kb
19,B7,ES,2,kb
20,B8,A14,1,kb
21,B9,A14,2,kb
22,B10,NP,1,kb
23,B11,NP,2,kb
24,B12,blank,0,kb
25,C1,blank,0,kb
26,C2,A9,1,kb
27,C3,A9,2,kb
28,C4,DC,1,kb
29,C5,DC,2,kb
30,C6,ES,1,kb
31,C7,ES,2,kb
32,C8,A14,1,kb
33,C9,A14,2,kb
34,C10,NP,1,kb
35,C11,NP,2,kb
36,C12,blank,0,kb
37,D1,blank,0,kb
38,D2,A9,1,kb
39,D3,A9,2,kb
40,D4,DC,1,kb
41,D5,DC,2,kb
42,D6,ES,1,kb
43,D7,ES,2,kb
44,D8,A14,1,kb
45,D9,A14,2,kb
46,D10,NP,1,kb
47,D11,NP,2,kb
48,D12,blank,0,kb
49,E1,blank,0,lb
50,E2,A9,1,lb
51,E3,A9,2,lb
52,E4,DC,1,lb
53,E5,DC,2,lb
54,E6,ES,1,lb
55,E7,ES,2,lb
56,E8,A14,1,lb
57,E9,A14,2,lb
58,E10,NP,1,lb
59,E11,NP,2,lb
60,E12,blank,0,lb
61,F1,blank,0,lb
62,F2,A9,1,lb
63,F3,A9,2,lb
64,F4,DC,1,lb
65,F5,DC,2,lb
66,F6,ES,1,lb
67,F7,ES,2,lb
68,F8,A14,1,lb
69,F9,A14,2,lb
70,F10,NP,1,lb
71,F11,NP,2,lb
72,F12,blank,0,lb
73,G1,blank,0,lb
74,G2,A9,1,lb
75,G3,A9,2,lb
76,G4,DC,1,lb
77,G5,DC,2,lb
78,G6,ES,1,lb
79,G7,ES,2,lb
80,G8,A14,1,lb
81,G9,A14,2,lb
82,G10,NP,1,lb
83,G11,NP,2,lb
84,G12,blank,0,lb
85,H1,blank,0,lb
86,H2,blank,0,lb
87,H3,blank,0,lb
88,H4,blank,0,lb
89,H5,blank,0,lb
90,H6,blank,0,lb
91,H7,blank,0,lb
92,H8,blank,0,lb
93,H9,blank,0,lb
94,H10,blank,0,lb
95,H11,blank,0,lb
96,H12,blank,0,lb