Wellno,Well,ID,Env,Date
1,A1,blank,water,na
2,A2,blank,water,na
3,A3,blank,water,na
4,A4,blank,water,na
5,A5,blank,water,na
6,A6,blank,water,na
7,A7,blank,water,na
8,A8,blank,water,na
9,A9,blank,water,na
10,A10,blank,water,na
11,A11,blank,water,na
12,A12,blank,water,na
13,B1,nc,media1,na
14,B2,1,media1,na
15,B3,nc,media1,na
16,B4,3,media1,na
17,B5,nc,media1,na
18,B6,5,media1,na
19,B7,nc,media1,na
20,B8,7,media1,na
21,B9,nc,media1,na
22,B10,9,media1,na
23,B11,nc,media1,na
24,B12,nc,media1,na
25,C1,nc,media1,na
26,C2,nc,media1,na
27,C3,2,media1,na
28,C4,nc,media1,na
29,C5,4,media1,na
30,C6,nc,media1,na
31,C7,6,media1,na
32,C8,nc,media1,na
33,C9,8,media1,na
34,C10,nc,media1,na
35,C11,10,media1,na
36,C12,nc,media1,na
37,D1,nc,media2,na
38,D2,1,media2,na
39,D3,nc,media2,na
40,D4,3,media2,na
41,D5,nc,media2,na
42,D6,5,media2,na
43,D7,nc,media2,na
44,D8,7,media2,na
45,D9,nc,media2,na
46,D10,9,media2,na
47,D11,nc,media2,na
48,D12,nc,media2,na
49,E1,nc,media2,na
50,E2,nc,media2,na
51,E3,2,media2,na
52,E4,nc,media2,na
53,E5,4,media2,na
54,E6,nc,media2,na
55,E7,6,media2,na
56,E8,nc,media2,na
57,E9,8,media2,na
58,E10,nc,media2,na
59,E11,10,media2,na
60,E12,nc,media2,na
61,F1,nc,media3,na
62,F2,1,media3,na
63,F3,nc,media3,na
64,F4,3,media3,na
65,F5,nc,media3,na
66,F6,5,media3,na
67,F7,nc,media3,na
68,F8,7,media3,na
69,F9,nc,media3,na
70,F10,9,media3,na
71,F11,nc,media3,na
72,F12,nc,media3,na
73,G1,nc,media3,na
74,G2,nc,media3,na
75,G3,2,media3,na
76,G4,nc,media3,na
77,G5,4,media3,na
78,G6,nc,media3,na
79,G7,6,media3,na
80,G8,nc,media3,na
81,G9,8,media3,na
82,G10,nc,media3,na
83,G11,10,media3,na
84,G12,nc,media3,na
85,H1,blank,water,na
86,H2,blank,water,na
87,H3,blank,water,na
88,H4,blank,water,na
89,H5,blank,water,na
90,H6,blank,water,na
91,H7,blank,water,na
92,H8,blank,water,na
93,H9,blank,water,na
94,H10,blank,water,na
95,H11,blank,water,na
96,H12,blank,water,na